,index,cve_id,cve_desc,cwe_id,new_cwe,result
23,61,CVE-2020-36599,lib/omniauth/failure_endpoint.rb in OmniAuth before 1.9.2 (and before 2.0) does not escape the message_key value.,CWE-116,CWE-116,0
24,62,CVE-2022-36947,Unsafe Parsing of a PNG tRNS chunk in FastStone Image Viewer through 7.5 results in a stack buffer overflow.,CWE-787,CWE-787,0
25,67,CVE-2022-30944,Insufficiently protected credentials for Intel(R) AMT and Intel(R) Standard Manageability may allow a privileged user to potentially enable information disclosure via local access.,CWE-522,CWE-522,0
26,68,CVE-2022-30601,Insufficiently protected credentials for Intel(R) AMT and Intel(R) Standard Manageability may allow an unauthenticated user to potentially enable information disclosure and escalation of privilege via network access.,CWE-522,CWE-522,0
27,72,CVE-2022-37770,libjpeg commit 281daa9 was discovered to contain a segmentation fault via LineMerger::GetNextLowpassLine at linemerger.cpp. This vulnerability allows attackers to cause a Denial of Service (DoS) via a crafted file.,CWE-400,CWE-400,0
28,73,CVE-2022-37769,libjpeg commit 281daa9 was discovered to contain a segmentation fault via HuffmanDecoder::Get at huffmandecoder.hpp. This vulnerability allows attackers to cause a Denial of Service (DoS) via a crafted file.,CWE-400,CWE-400,0
29,74,CVE-2022-37768,libjpeg commit 281daa9 was discovered to contain an infinite loop via the component Frame::ParseTrailer.,CWE-835,CWE-835,0
30,81,CVE-2022-36725,Library Management System v1.0 was discovered to contain a SQL injection vulnerability via the M_Id parameter at /student/dele.php.,CWE-89,CWE-89,0
31,82,CVE-2022-36722,Library Management System v1.0 was discovered to contain a SQL injection vulnerability via the title parameter at /librarian/history.php.,CWE-89,CWE-89,0
32,84,CVE-2022-35212,osCommerce2 before v2.3.4.1 was discovered to contain a cross-site scripting (XSS) vulnerability via the function tep_db_error().,CWE-79,CWE-79,0
33,99,CVE-2022-25966,Improper access control in the Intel(R) Edge Insights for Industrial software before version 2.6.1 may allow an authenticated user to potentially enable escalation of privilege via local access.,CWE-269,CWE-269,0
34,102,CVE-2022-25228,"CandidATS Version 3.0.0 Beta allows an authenticated user to inject SQL queries in '/index.php?m=settings&a=show' via the 'userID' parameter, in '/index.php?m=candidates&a=show' via the 'candidateID', in '/index.php?m=joborders&a=show' via the 'jobOrderID' and '/index.php?m=companies&a=show' via the 'companyID' parameter",CWE-89,CWE-89,0
35,103,CVE-2022-24378,Improper initialization in the Intel(R) Data Center Manager software before version 4.1 may allow an authenticated user to potentially enable denial of service via local access.,CWE-665,CWE-665,0
36,104,CVE-2022-23403,Improper input validation in the Intel(R) Data Center Manager software before version 4.1 may allow an authenticated user to potentially enable denial of service via local access.,CWE-20,CWE-20,0
37,105,CVE-2022-23182,Improper access control in the Intel(R) Data Center Manager software before version 4.1 may allow an unauthenticated user to potentially enable escalation of privilege via adjacent access.,CWE-863,CWE-863,0
38,106,CVE-2022-22730,Improper authentication in the Intel(R) Edge Insights for Industrial software before version 2.6.1 may allow an unauthenticated user to potentially enable escalation of privilege via network access.,CWE-287,CWE-287,0
39,107,CVE-2022-21812,Improper access control in the Intel(R) HAXM software before version 7.7.1 may allow an authenticated user to potentially enable escalation of privilege via local access.,CWE-863,CWE-863,0
40,113,CVE-2022-21225,Improper access control in the Intel(R) Data Center Manager software before version 4.1 may allow an authenticated user to potentially enable escalation of privilege via adjacent access.,CWE-863,CWE-863,0
41,116,CVE-2022-21181,Improper input validation for some Intel(R) PROSet/Wireless WiFi and Killer(TM) WiFi products may allow a privileged user to potentially enable escalation of privilege via local access.,CWE-20,CWE-20,0
42,120,CVE-2022-21148,Improper access control in the Intel(R) Edge Insights for Industrial software before version 2.6.1 may allow an authenticated user to potentially enable escalation of privilege via local access.,CWE-269,CWE-269,0
43,121,CVE-2022-21140,Improper access control for some Intel(R) PROSet/Wireless WiFi and Killer(TM) WiFi products may allow a privileged user to potentially enable information disclosure via local access.,CWE-863,CWE-863,0
44,123,CVE-2021-44545,Improper input validation for some Intel(R) PROSet/Wireless WiFi and Killer(TM) WiFi products may allow an unauthenticated user to potentially enable denial of service via adjacent access.,CWE-20,CWE-20,0
45,124,CVE-2021-44470,Incorrect default permissions for the Intel(R) Connect M Android application before version 1.7.4 may allow an authenticated user to potentially enable information disclosure via local access.,CWE-276,CWE-276,0
46,126,CVE-2021-33847,Improper buffer restrictions in firmware for some Intel(R) Wireless Bluetooth(R) and Killer(TM) Bluetooth(R) products before version 22.120 may allow an authenticated user to potentially enable escalation of privilege via local access.,CWE-119,CWE-119,0
47,129,CVE-2021-33060,Out-of-bounds write in the BIOS firmware for some Intel(R) Processors may allow an authenticated user to potentially enable escalation of privilege via local access.,CWE-787,CWE-787,0
48,130,CVE-2021-26950,Out of bounds read in firmware for some Intel(R) Wireless Bluetooth(R) and Killer(TM) Bluetooth(R) products before version 22.120 may allow an authenticated user to potentially enable denial of service via local access.,CWE-125,CWE-125,0
49,132,CVE-2021-26254,Out of bounds read for some Intel(R) PROSet/Wireless WiFi and Killer(TM) WiFi products may allow a privileged user to potentially enable denial of service via local access.,CWE-125,CWE-125,0
50,133,CVE-2021-23223,Improper initialization for some Intel(R) PROSet/Wireless WiFi and Killer(TM) WiFi products may allow a privileged user to potentially enable escalation of privilege via local access.,CWE-665,CWE-665,0
51,134,CVE-2021-23188,Improper access control for some Intel(R) PROSet/Wireless WiFi and Killer(TM) WiFi products may allow an authenticated user to potentially enable information disclosure via local access.,CWE-863,CWE-863,0
52,136,CVE-2021-23168,Out of bounds read for some Intel(R) PROSet/Wireless WiFi and Killer(TM) WiFi products may allow an unauthenticated user to potentially enable denial of service via adjacent access.,CWE-125,CWE-125,0
53,140,CVE-2022-37422,"Payara through 5.2022.2 allows directory traversal without authentication. This affects Payara Server, Payara Micro, and Payara Server Embedded.",CWE-22,CWE-22,0
54,141,CVE-2022-35976,"The GitOps Tools Extension for VSCode relies on kubeconfigs in order to communicate with Kubernetes clusters. A specially crafted kubeconfig leads to arbitrary code execution on behalf of the user running VSCode. Users relying on kubeconfigs that are generated or altered by other processes or users are affected by this issue. Please note that the vulnerability is specific to this extension, and the same kubeconfig would not result in arbitrary code execution when used with kubectl. Using only trust-worthy kubeconfigs is a safe mitigation. However, updating to the latest version of the extension is still highly recommended.",CWE-78,NVD-CWE-noinfo,0
55,142,CVE-2022-35204,Vitejs Vite before v2.9.13 was discovered to allow attackers to perform a directory traversal via a crafted URL to the victim's service.,CWE-22,CWE-22,0
56,143,CVE-2022-2625,"A vulnerability found in postgresql. On this security issue an attack requires permission to create non-temporary objects in at least one schema, ability to lure or wait for an administrator to create or update an affected extension in that schema, and ability to lure or wait for a victim to use the object targeted in CREATE OR REPLACE or CREATE IF NOT EXISTS. Given all three prerequisites, the attacker can run arbitrary code as the victim role, which may be a superuser. Known-affected extensions include both PostgreSQL-bundled and non-bundled extensions. PostgreSQL blocks this attack in the core server, so there's no need to modify individual extensions.",CWE-913,CWE-913,0
57,144,CVE-2021-32862,"The GitHub Security Lab discovered sixteen ways to exploit a cross-site scripting vulnerability in nbconvert. When using nbconvert to generate an HTML version of a user-controllable notebook, it is possible to inject arbitrary HTML which may lead to cross-site scripting (XSS) vulnerabilities if these HTML notebooks are served by a web server (eg: nbviewer).",CWE-79,CWE-79,0
58,147,CVE-2022-37063,All FLIR AX8 thermal sensor cameras versions up to and including 1.46.16 are vulnerable to Cross Site Scripting (XSS) due to improper input sanitization. An authenticated remote attacker can execute arbitrary JavaScript code in the web management interface. A successful exploit could allow the attacker to insert malicious JavaScript code.,CWE-79,CWE-79,0
59,148,CVE-2022-37062,"All FLIR AX8 thermal sensor cameras version up to and including 1.46.16 are affected by an insecure design vulnerability due to an improper directory access restriction. An unauthenticated, remote attacker can exploit this by sending a URI that contains the path of the SQLite users database and download it. A successful exploit could allow the attacker to extract usernames and hashed passwords.",CWE-306,CWE-306,0
60,149,CVE-2022-37061,All FLIR AX8 thermal sensor cameras version up to and including 1.46.16 are vulnerable to Remote Command Injection. This can be exploited to inject and execute arbitrary shell commands as the root user through the id HTTP POST parameter in the res.php endpoint. A successful exploit could allow the attacker to execute arbitrary commands on the underlying operating system with the root privileges.,CWE-78,CWE-78,0
61,150,CVE-2022-35975,"The GitOps Tools Extension for VSCode can make it easier to manage Flux objects. A specially crafted Flux object may allow for remote code execution in the machine running the extension, in the context of the user that is running VSCode. Users using the VSCode extension to manage clusters that are shared amongst other users are affected by this issue. The only safe mitigation is to update to the latest version of the extension.",CWE-78,NVD-CWE-noinfo,0
62,151,CVE-2022-35175,Barangay Management System v1.0 was discovered to contain a SQL injection vulnerability via the hidden_id parameter at /blotter/blotter.php.,CWE-89,CWE-89,0
63,152,CVE-2022-35174,A stored cross-site scripting (XSS) vulnerability in Kirby's Starterkit v3.7.0.2 allows attackers to execute arbitrary web scripts or HTML via a crafted payload injected into the Tags field.,CWE-79,CWE-79,0
64,153,CVE-2022-37060,"FLIR AX8 thermal sensor cameras version up to and including 1.46.16 is vulnerable to Directory Traversal due to an improper access restriction. An unauthenticated, remote attacker can exploit this by sending a URI that contains directory traversal characters to disclose the contents of files located outside of the server's restricted path.",CWE-22,CWE-22,0
65,154,CVE-2022-36023,"Hyperledger Fabric is an enterprise-grade permissioned distributed ledger framework for developing solutions and applications. If a gateway client application sends a malformed request to a gateway peer it may crash the peer node. Version 2.4.6 checks for the malformed gateway request and returns an error to the gateway client. There are no known workarounds, users must upgrade to version 2.4.6.",CWE-20,CWE-20,0
66,155,CVE-2022-2874,NULL Pointer Dereference in GitHub repository vim/vim prior to 9.0.0224.,CWE-476,CWE-476,0
67,156,CVE-2022-36024,"py-cord is a an API wrapper for Discord written in Python. Bots creating using py-cord version 2.0.0 are vulnerable to remote shutdown if they are added to the server with the `application.commands` scope without the `bot` scope. Currently, it appears that all public bots that use slash commands are affected. This issue has been patched in version 2.0.1. There are currently no recommended workarounds - please upgrade to a patched version.",CWE-284,CWE-862,0
68,157,CVE-2022-37025,An improper privilege management vulnerability in McAfee Security Scan Plus (MSS+) before 4.1.262.1 could allow a local user to modify a configuration file and perform a LOLBin (Living off the land) attack. This could result in the user gaining elevated permissions and being able to execute arbitrary code due to lack of an integrity check of the configuration file.,CWE-269,CWE-269,0
69,159,CVE-2022-29549,"An issue was discovered in Qualys Cloud Agent 4.8.0-49. It executes programs at various full pathnames without first making ownership and permission checks (e.g., to help ensure that a program was installed by root) and without integrity checks (e.g., a checksum comparison against known legitimate programs). Also, the vendor recommendation is to install this agent software with root privileges. Thus, privilege escalation is possible on systems where any of these pathnames is controlled by a non-root user. An example is /opt/firebird/bin/isql, where the /opt/firebird directory is often owned by the firebird user.",CWE-354,CWE-354,0
70,160,CVE-2022-33311,Browse restriction bypass vulnerability in Address Book of Cybozu Office 10.0.0 to 10.8.5 allows a remote authenticated attacker to obtain the data of Address Book via unspecified vectors.,CWE-732,CWE-732,0
71,161,CVE-2022-33151,Cross-site scripting vulnerability in the specific parameters of Cybozu Office 10.0.0 to 10.8.5 allows remote attackers to inject an arbitrary script via unspecified vectors.,CWE-79,CWE-79,0
72,162,CVE-2022-32583,Operation restriction bypass vulnerability in Scheduler of Cybozu Office 10.0.0 to 10.8.5 allows a remote authenticated attacker to alter the data of Scheduler via unspecified vectors.,CWE-732,CWE-732,0
73,163,CVE-2022-32544,Operation restriction bypass vulnerability in Project of Cybozu Office 10.0.0 to 10.8.5 allows a remote authenticated attacker to alter the data of Project via unspecified vectors.,CWE-732,CWE-732,0
74,164,CVE-2022-32453,HTTP header injection vulnerability in Cybozu Office 10.0.0 to 10.8.5 may allow a remote attacker to obtain and/or alter the data of the product via unspecified vectors.,CWE-74,CWE-74,0
75,166,CVE-2022-30693,Information disclosure vulnerability in the system configuration of Cybozu Office 10.0.0 to 10.8.5 allows a remote attacker to obtain the data of the product via unspecified vectors.,CWE-200,CWE-200,0
76,167,CVE-2022-30604,Cross-site scripting vulnerability in the specific parameters of Cybozu Office 10.0.0 to 10.8.5 allows a remote attacker to inject an arbitrary script via unspecified vectors.,CWE-79,CWE-79,0
77,168,CVE-2022-2876,"A vulnerability, which was classified as critical, was found in SourceCodester Student Management System. Affected is an unknown function of the file index.php. The manipulation of the argument id leads to sql injection. It is possible to launch the attack remotely. The exploit has been disclosed to the public and may be used. VDB-206634 is the identifier assigned to this vulnerability.",CWE-89,CWE-89,0
78,170,CVE-2022-29487,Cross-site scripting vulnerability in Cybozu Office 10.0.0 to 10.8.5 allows a remote attacker to inject an arbitrary script via unspecified vectors.,CWE-79,CWE-79,0
79,171,CVE-2022-28715,Cross-site scripting vulnerability in the specific parameters of Cybozu Office 10.0.0 to 10.8.5 allows a remote attacker to inject an arbitrary script via unspecified vectors.,CWE-79,CWE-79,0
80,172,CVE-2022-25986,Browse restriction bypass vulnerability in Scheduler of Cybozu Office 10.0.0 to 10.8.5 allows a remote authenticated attacker to obtain the data of Scheduler.,CWE-668,CWE-668,0
81,177,CVE-2022-35164,LibreDWG v0.12.4.4608 & commit f2dea29 was discovered to contain a heap use-after-free via bit_copy_chain.,CWE-416,CWE-416,0
82,178,CVE-2022-35154,Shopro Mall System v1.3.8 was discovered to contain a SQL injection vulnerability via the value parameter.,CWE-89,CWE-89,0
83,179,CVE-2022-35153,FusionPBX 5.0.1 was discovered to contain a command injection vulnerability via /fax/fax_send.php.,CWE-77,CWE-77,0
84,180,CVE-2021-30071,A cross-site scripting (XSS) vulnerability in /admin/list_key.html of HestiaCP before v1.3.5 allows attackers to execute arbitrary web scripts or HTML via a crafted payload.,CWE-79,CWE-79,0
85,182,CVE-2022-35606,A SQL injection vulnerability in CustomerDAO.java in sazanrjb InventoryManagementSystem 1.0 allows attackers to execute arbitrary SQL commands via the parameter 'customerCode.',CWE-89,CWE-89,0
86,183,CVE-2022-35605,"A SQL injection vulnerability in UserDAO.java in sazanrjb InventoryManagementSystem 1.0 allows attackers to execute arbitrary SQL commands via the parameters such as 'users', 'pass', etc.",CWE-89,CWE-89,0
87,184,CVE-2022-35604,A SQL injection vulnerability in SupplierDAO.java in sazanrjb InventoryManagementSystem 1.0 allows attackers to execute arbitrary SQL commands via parameter 'searchTxt'.,CWE-89,CWE-89,0
88,185,CVE-2022-35603,A SQL injection vulnerability in CustomerDAO.java in sazanrjb InventoryManagementSystem 1.0 allows attackers to execute arbitrary SQL commands via parameter searchTxt.,CWE-89,CWE-89,0
89,186,CVE-2022-35602,A SQL injection vulnerability in UserDAO.java in sazanrjb InventoryManagementSystem 1.0 allows attackers to execute arbitrary SQL commands via parameter user.,CWE-89,CWE-89,0
90,187,CVE-2022-35601,A SQL injection vulnerability in SupplierDAO.java in sazanrjb InventoryManagementSystem 1.0 allows attackers to execute arbitrary SQL commands via parameter searchTxt.,CWE-89,CWE-89,0
91,188,CVE-2022-35599,A SQL injection vulnerability in Stocks.java in sazanrjb InventoryManagementSystem 1.0 allows attackers to execute arbitrary SQL commands via parameter productcode.,CWE-89,CWE-89,0
92,189,CVE-2022-35598,A SQL injection vulnerability in ConnectionFactoryDAO.java in sazanrjb InventoryManagementSystem 1.0 allows attackers to execute arbitrary SQL commands via parameter username.,CWE-89,CWE-89,0
93,190,CVE-2022-35151,kkFileView v4.1.0 was discovered to contain multiple cross-site scripting (XSS) vulnerabilities via the urls and currentUrl parameters at /controller/OnlinePreviewController.java.,CWE-79,CWE-79,0
94,191,CVE-2022-2869,"libtiff's tiffcrop tool has a uint32_t underflow which leads to out of bounds read and write in the extractContigSamples8bits routine. An attacker who supplies a crafted file to tiffcrop could trigger this flaw, most likely by tricking a user into opening the crafted file with tiffcrop. Triggering this flaw could cause a crash or potentially further exploitation.",CWE-125,CWE-787,0
95,192,CVE-2022-2868,libtiff's tiffcrop utility has a improper input validation flaw that can lead to out of bounds read and ultimately cause a crash if an attacker is able to supply a crafted file to tiffcrop.,CWE-20,CWE-20,0
96,193,CVE-2022-2867,"libtiff's tiffcrop utility has a uint32_t underflow that can lead to out of bounds read and write. An attacker who supplies a crafted file to tiffcrop (likely via tricking a user to run tiffcrop on it with certain parameters) could cause a crash or in some cases, further exploitation.",CWE-125,CWE-787,0
97,195,CVE-2022-28751,The Zoom Client for Meetings for MacOS (Standard and for IT Admin) before version 5.11.3 contains a vulnerability in the package signature validation during the update process. A local low-privileged user could exploit this vulnerability to escalate their privileges to root.,CWE-347,CWE-347,0
98,197,CVE-2022-35147,DoraCMS v2.18 and earlier allows attackers to bypass login authentication via a crafted HTTP request.,CWE-287,CWE-287,0
99,198,CVE-2022-35133,A cross-site scripting (XSS) vulnerability in CherryTree v0.99.30 allows attackers to execute arbitrary web scripts or HTML via a crafted payload injected into the Name text field when creating a node.,CWE-79,CWE-79,0
100,199,CVE-2022-35122,An access control issue in Ecowitt GW1100 Series Weather Stations <=GW1100B_v2.1.5 allows unauthenticated attackers to access sensitive information including device and local WiFi passwords.,CWE-287,CWE-287,0
101,200,CVE-2022-2547,A crafted HTTP packet without a content-type header can create a denial-of-service condition in Softing Secure Integration Server V1.22.,CWE-476,CWE-476,0
102,201,CVE-2022-2338,"Softing Secure Integration Server V1.22 is vulnerable to authentication bypass via a machine-in-the-middle attack. The default the administration interface is accessible via plaintext HTTP protocol, facilitating the attack. The HTTP request may contain the session cookie in the request, which may be captured for use in authenticating to the server.",CWE-319,CWE-319,0
103,202,CVE-2022-2337,A crafted HTTP packet with a missing HTTP URI can create a denial-of-service condition in Softing Secure Integration Server V1.22.,CWE-476,CWE-476,0
104,203,CVE-2022-2336,"Softing Secure Integration Server, edgeConnector, and edgeAggregator software ships with the default administrator credentials as `admin` and password as `admin`. This allows Softing to log in to the server directly to perform administrative functions. Upon installation or upon first login, the application does not ask the user to change the `admin` password. There is no warning or prompt to ask the user to change the default password, and to change the password, many steps are required.",CWE-287,CWE-287,0
105,204,CVE-2022-2335,A crafted HTTP packet with a -1 content-length header can create a denial-of-service condition in Softing Secure Integration Server V1.22.,CWE-191,CWE-191,0
106,205,CVE-2022-2334,"The application searches for a library dll that is not found. If an attacker can place a dll with this name, then the attacker can leverage it to execute arbitrary code on the targeted Softing Secure Integration Server V1.22.",CWE-427,CWE-427,0
107,206,CVE-2022-23765,This vulnerability occured by sending a malicious POST request to a specific page while logged in random user from some family of IPTIME NAS. Remote attackers can steal root privileges by changing the password of the root through a POST request.,CWE-352,CWE-352,0
108,207,CVE-2022-23764,"The vulnerability causing from insufficient verification procedures for downloaded files during WebCube update. Remote attackers can bypass this verification logic to update both digitally signed and unauthorized files, enabling remote code execution.",CWE-346,CWE-346,0
109,208,CVE-2022-23747,"In Sony Xperia series 1, 5, and Pro, an out of bound memory access can occur due to lack of validation of the number of frames being passed during music playback.",CWE-120,CWE-120,0
110,209,CVE-2022-1748,"Softing OPC UA C++ Server SDK, Secure Integration Server, edgeConnector, edgeAggregator, OPC Suite, and uaGate are affected by a NULL pointer dereference vulnerability.",CWE-476,CWE-476,0
111,210,CVE-2022-1373,"The “restore configuration” feature of Softing Secure Integration Server V1.22 is vulnerable to a directory traversal vulnerability when processing zip files. An attacker can craft a zip file to load an arbitrary dll and execute code. Using the ""restore configuration"" feature to upload a zip file containing a path traversal file may cause a file to be created and executed upon touching the disk.",CWE-23,CWE-23,0
112,211,CVE-2022-1069,A crafted HTTP packet with a large content-length header can create a denial-of-service condition in Softing Secure Integration Server V1.22.,CWE-125,CWE-125,0
113,213,CVE-2020-14394,"An infinite loop flaw was found in the USB xHCI controller emulation of QEMU while computing the length of the Transfer Request Block (TRB) Ring. This flaw allows a privileged guest user to hang the QEMU process on the host, resulting in a denial of service.",CWE-835,CWE-835,0
114,214,CVE-2022-36216,DedeCMS v5.7.94 - v5.7.97 was discovered to contain a remote code execution vulnerability in member_toadmin.php.,CWE-94,CWE-94,0
115,215,CVE-2022-36215,DedeBIZ v6 was discovered to contain a remote code execution vulnerability in sys_info.php.,CWE-94,CWE-94,0
116,216,CVE-2022-35516,DedeCMS v5.7.93 - v5.7.96 was discovered to contain a remote code execution vulnerability in login.php.,CWE-94,CWE-94,0
117,217,CVE-2022-35121,Novel-Plus v3.6.1 was discovered to contain a SQL injection vulnerability via the keyword parameter at /service/impl/BookServiceImpl.java.,CWE-89,CWE-89,0
118,218,CVE-2022-2862,Use After Free in GitHub repository vim/vim prior to 9.0.0221.,CWE-416,CWE-416,0
119,219,CVE-2022-2870,A vulnerability was found in laravel 5.1 and classified as problematic. This issue affects some unknown processing. The manipulation leads to deserialization. The attack may be initiated remotely. The exploit has been disclosed to the public and may be used. The identifier VDB-206501 was assigned to this vulnerability.,CWE-502,CWE-502,0
120,221,CVE-2022-35117,Clinic's Patient Management System v1.0 was discovered to contain a cross-site scripting (XSS) vulnerability via update_medicine_details.php. This vulnerability allows attackers to execute arbitrary web scripts or HTML via a crafted payload injected into the Packing text box under the Update Medical Details module.,CWE-79,CWE-79,0
121,222,CVE-2022-2849,Heap-based Buffer Overflow in GitHub repository vim/vim prior to 9.0.0220.,CWE-122,CWE-122,0
122,223,CVE-2022-36191,"A heap-buffer-overflow had occurred in function gf_isom_dovi_config_get of isomedia/avc_ext.c:2490, as demonstrated by MP4Box. This vulnerability was fixed in commit fef6242.",CWE-787,CWE-787,0
123,225,CVE-2022-38149,HashiCorp Consul Template through 0.29.1 inserts Sensitive Information into a Log File.,CWE-532,CWE-532,0
124,226,CVE-2022-36190,GPAC mp4box 2.1-DEV-revUNKNOWN-master has a use-after-free vulnerability in function gf_isom_dovi_config_get. This vulnerability was fixed in commit fef6242.,CWE-416,CWE-416,0
125,227,CVE-2022-36186,"A Null Pointer dereference vulnerability exists in GPAC 2.1-DEV-revUNKNOWN-master via the function gf_filter_pid_set_property_full () at filter_core/filter_pid.c:5250,which causes a Denial of Service (DoS). This vulnerability was fixed in commit b43f9d1.",CWE-476,CWE-476,0
126,228,CVE-2022-31262,"An exploitable local privilege escalation vulnerability exists in GOG Galaxy 2.0.46. Due to insufficient folder permissions, an attacker can hijack the %ProgramData%\GOG.com folder structure and change the GalaxyCommunication service executable to a malicious file, resulting in code execution as SYSTEM.",CWE-281,CWE-281,0
